date,min_temperature,max_temperature
2025-01-29,0.7,11.2
2025-01-30,-4.6,2.7
2025-01-31,0.6,7.8
2025-02-01,-5.2,8.1
2025-02-02,-8.7,-0.6
2025-02-03,-0.8,8.2
2025-02-04,-0.6,8.1
