date,min_temperature,max_temperature
2025-01-22,-13.9,-5.9
2025-01-23,-10.1,-1.2
2025-01-24,-7.2,1.3
2025-01-25,-6.5,-0.0
2025-01-26,-1.8,6.2
2025-01-27,-1.2,5.3
2025-01-28,-0.1,6.0
