date,min_temperature,max_temperature
2025-01-08,-5.2,-0.8
2025-01-09,-5.4,0.6
2025-01-10,-3.4,4.8
2025-01-11,-2.8,1.9
2025-01-12,-3.0,6.1
2025-01-13,-1.6,5.6
2025-01-14,-3.9,0.9
