date,min_temperature,max_temperature
2025-01-01,3.1,10.1
2025-01-02,0.6,6.1
2025-01-03,-1.4,3.8
2025-01-04,-2.8,0.8
2025-01-05,-3.4,1.0
2025-01-06,-4.7,-0.8
2025-01-07,-7.2,0.5
